"Range2","Row2","Test","Entry","MNPlot","RM","RM_list","RepNo","MaturityDa","ID","Red","Green","Blue","WA_2018_08_15_4","GLI"
"1","162","264","1","264001","0","0","1","24",1,120.743604429171,140.230813287514,65.258304696449,255,0.204401656068556
"1","164","264","2","264002","0","0","1","26",2,123.744676081596,141.654785922439,66.1250840618695,255,0.19907187602536
"1","166","264","11","264017","0","0","2","24",3,127.266666666667,143.801834862385,68.1743119266055,255,0.191476260250292
"1","168","264","4","264018","0","0","2","23",4,127.730893782383,143.962759067358,71.6126943005181,255,0.182595572557536
"1","170","264","5","264033","0","0","3","22",5,149.945454545455,163.024242424242,88.6939393939394,255,0.15569602288571
"1","172","264","3","264034","0","0","3","23",6,142.548850574713,154.629310344828,83.3850574712644,255,0.155875874290656
"2","162","264","4","264004","0","0","1","19",7,126.952164459379,147.578177505436,66.6056532911643,255,0.210013640852592
"2","164","264","3","264003","0","0","1","36",8,128.547376664056,150.03386844166,73.5197729052467,255,0.196919005743381
"2","166","264","12","264020","0","0","2","41",9,146.306960440661,164.28743114672,76.2784176264397,255,0.193700593749946
"2","168","264","14","264019","0","0","2","33",10,133.392296296296,153.681481481481,73.5777777777778,255,0.196641276810828
"2","170","264","1","264036","0","0","3","25",11,129.572164948454,148.139175257732,74.4871134020619,255,0.186220736257962
"2","172","264","9","264035","0","0","3","24",12,130.630543514505,146.975658552851,69.4938312770924,255,0.191768192468217
"3","162","264","5","264005","0","0","1","29",13,120.967714088398,143.26398480663,67.0801104972376,255,0.211125167721004
"3","164","264","6","264006","0","0","1","26",14,122.682769445413,145.115277293338,67.3249040809208,255,0.211883366149871
"3","166","264","1","264021","0","0","2","26",15,116.897640527412,140.807945870923,65.1155447605829,255,0.217329979422007
"3","168","264","9","264022","0","0","2","34",16,120.061826884723,142.548663741524,61.1872756282409,255,0.226195634052154
"3","170","264","13","264037","0","0","3","22",17,119.038475699558,140.915500736377,58.8138807069219,255,0.229548365500292
"3","172","264","15","264038","0","1.8","3","19",18,125.044048243314,143.683272155218,59.7084425799685,255,0.21936864004574
"4","162","264","8","264008","0","0","1","26",19,115.767312053026,139.503052503053,66.6200941915228,255,0.214853198825726
"4","164","264","7","264007","0","0","1","34",20,119.017924359204,141.730417637569,66.7158989066141,255,0.212126732022004
"4","166","264","3","264024","0","0","2","41",21,113.91917973462,139.330346372566,61.4613131139066,255,0.231429045145278
"4","168","264","5","264023","0","0","2","28",22,115.032447296059,137.232630614115,61.0120989917507,255,0.222439779350946
"4","170","264","10","264040","0","0","3","23",23,115.963015901376,138.794890119707,60.6651777738074,255,0.225527561707158
"4","172","264","12","264039","0","0","3","42",24,127.075245098039,150.175245098039,64.7022058823529,255,0.223808984999663
"5","162","264","9","264009","0","0","1","35",25,115.234595524957,138.44991394148,59.8932874354561,255,0.229201599134687
"5","164","264","10","264010","0","0","1","25",26,112.0375,136.705821917808,60.171404109589,255,0.230820379859776
"5","166","264","8","264025","0","0","2","31",27,108.975300287599,133.201150397564,59.5391642700051,255,0.22845085196547
"5","168","264","7","264026","0","0","2","32",28,115.938386136881,136.985821809907,62.5624015403466,255,0.214631356824451
"5","170","264","8","264041","0","0","3","32",29,107.889799476896,128.367567567568,56.1490845684394,255,0.223633699710789
"5","172","264","11","264042","0","0","3","25",30,119.005728518057,138.601494396015,62.9342465753425,255,0.209664689395839
"6","162","264","12","264012","0","0","1","42",31,112.449298526017,137.829870360504,54.110459953827,255,0.251143815664994
"6","164","264","11","264011","0","0","1","28",32,108.391796807963,131.323837309078,55.2359704822379,255,0.234406492138929
"6","166","264","10","264028","0","0","2","24",33,106.09222614841,128.925795053004,56.3162544169611,255,0.229173898765604
"6","168","264","13","264027","0","0","2","23",34,110.539521392313,131.978063814358,53.0491298042059,255,0.237645122929832
"6","170","264","16","264044","0","1.7","3","18",35,111.103225806452,130.061290322581,51.8036866359447,255,0.231421243111744
"6","172","264","4","264043","0","0","3","21",36,119.366410188379,138.029981427434,62.1167418413372,255,0.2077413090815
"7","162","264","13","264013","0","0","1","23",37,101.797705207414,123.526566637246,45.8040600176522,255,0.254138354576644
"7","164","264","14","264014","0","0","1","32",38,102.123488773748,125.37426597582,47.7354058721934,255,0.253599052730573
"7","166","264","16","264029","0","1.7","2","17",39,104.41624891962,124.881244598099,46.6606741573034,255,0.249039521276055
"7","168","264","2","264030","0","0","2","29",40,108.268575570859,127.396158028271,49.5260964117434,255,0.237592538128321
"7","170","264","6","264045","0","0","3","30",41,106.788201847903,126.679815209666,48.3930348258707,255,0.242188381589642
"7","172","264","2","264046","0","0","3","23",42,116.449915110357,131.901867572156,54.0584040747029,255,0.215458225955044
"8","162","264","16","264016","0","1.7","1","20",43,105.594210914454,124.473820058997,47.1915560471976,255,0.243141198827286
"8","164","264","15","264015","0","1.8","1","20",44,105.967874794069,123.723434925865,43.8778830313015,255,0.249303492562137
"8","166","264","15","264032","0","1.8","2","19",45,106.752014879107,124.030378177309,43.3612316594338,255,0.249038387444483
"8","168","264","6","264031","0","0","2","32",46,106.92391965916,125.36741732603,47.9791032663826,255,0.239303315957343
"8","170","264","7","264048","0","0","3","34",47,100.784039489922,116.952694364459,43.1931303990128,255,0.240177722442681
"8","172","264","14","264047","0","0","3","36",48,107.486486486486,126.811297784271,48.1867543218895,255,0.240993209791397
